DATE_TIME;DRBS_PRESS;NEWK_PRESS
2021-03-11 18:41:00;978.366;1015.920
2021-03-11 18:42:00;978.366;1015.920
2021-03-11 18:43:00;978.396;1015.920
2021-03-11 18:44:00;978.396;1015.920
2021-03-11 18:45:00;978.466;1015.920
2021-03-11 18:46:00;978.466;1015.780
2021-03-11 18:47:00;978.486;1015.780
2021-03-11 18:48:00;978.486;1015.780
2021-03-11 18:49:00;978.586;1015.780
2021-03-11 18:50:00;978.586;1015.780
2021-03-11 18:51:00;978.526;1015.780
2021-03-11 18:52:00;978.526;1015.650
2021-03-11 18:53:00;978.566;1015.650
2021-03-11 18:54:00;978.566;1015.650
2021-03-11 18:55:00;978.556;1015.650
2021-03-11 18:56:00;978.556;1015.650
2021-03-11 18:57:00;978.576;1015.650
2021-03-11 18:58:00;978.576;1015.650
2021-03-11 18:59:00;978.596;1015.650
2021-03-11 19:00:00;978.596;1015.650
2021-03-11 19:01:00;978.636;1015.650
2021-03-11 19:02:00;978.636;1015.650
2021-03-11 19:03:00;978.616;1015.650
2021-03-11 19:04:00;978.616;1015.520
2021-03-11 19:05:00;978.636;1015.520
2021-03-11 19:06:00;978.636;1015.520
2021-03-11 19:07:00;978.646;1015.520
2021-03-11 19:08:00;978.646;1015.380
2021-03-11 19:09:00;978.646;1015.380
2021-03-11 19:10:00;978.646;1015.380
2021-03-11 19:11:00;978.656;1015.380
2021-03-11 19:12:00;978.656;1015.380
2021-03-11 19:13:00;978.676;1015.380
2021-03-11 19:14:00;978.676;1015.380
2021-03-11 19:15:00;978.706;1015.380
2021-03-11 19:16:00;978.706;1015.380
2021-03-11 19:17:00;978.726;1015.250
2021-03-11 19:18:00;978.726;1015.250
2021-03-11 19:19:00;978.606;1015.250
2021-03-11 19:20:00;978.606;1015.250
2021-03-11 19:21:00;978.686;1015.250
2021-03-11 19:22:00;978.686;1015.250
2021-03-11 19:23:00;978.726;1015.250
2021-03-11 19:24:00;978.726;1015.250
2021-03-11 19:25:00;978.716;1015.250
2021-03-11 19:26:00;978.716;1015.250
2021-03-11 19:27:00;978.786;1015.250
2021-03-11 19:28:00;978.786;1015.120
2021-03-11 19:29:00;978.756;1015.120
2021-03-11 19:30:00;978.756;1015.120
2021-03-11 19:31:00;978.696;1015.120
2021-03-11 19:32:00;978.696;1015.120
2021-03-11 19:33:00;978.746;1015.120
2021-03-11 19:34:00;978.746;1015.120
2021-03-11 19:35:00;978.716;1015.120
2021-03-11 19:36:00;978.716;1015.120
2021-03-11 19:37:00;978.806;1015.250
2021-03-11 19:38:00;978.806;1015.120
