DATE_TIME;DRBS;NEWK
2021-03-11 18:41:00;121.717;100.950
2021-03-11 18:42:00;121.717; 98.980
2021-03-11 18:43:00;119.750; 98.660
2021-03-11 18:44:00;122.400; 96.910
2021-03-11 18:45:00;119.317; 97.590
2021-03-11 18:46:00;121.367; 96.980
2021-03-11 18:47:00;117.867; 99.660
2021-03-11 18:48:00;117.450; 97.560
2021-03-11 18:49:00;122.633;101.310
2021-03-11 18:50:00;116.950; 96.980
2021-03-11 18:51:00;120.500;100.420
2021-03-11 18:52:00;116.533; 97.530
2021-03-11 18:53:00;121.833; 97.750
2021-03-11 18:54:00;119.333;100.680
2021-03-11 18:55:00;120.767; 99.010
2021-03-11 18:56:00;116.350; 98.030
2021-03-11 18:57:00;118.517; 99.480
2021-03-11 18:58:00;119.900; 98.120
2021-03-11 18:59:00;125.133; 98.030
2021-03-11 19:00:00;121.150;100.480
2021-03-11 19:01:00;120.217;100.570
2021-03-11 19:02:00;118.067; 97.780
2021-03-11 19:03:00;120.883; 97.480
2021-03-11 19:04:00;118.633; 99.690
2021-03-11 19:05:00;122.367; 97.940
2021-03-11 19:06:00;120.700; 98.540
2021-03-11 19:07:00;113.117;100.530
2021-03-11 19:08:00;118.517; 99.500
2021-03-11 19:09:00;121.883; 96.350
2021-03-11 19:10:00;118.917; 96.620
2021-03-11 19:11:00;119.017; 96.040
2021-03-11 19:12:00;120.250; 98.480
2021-03-11 19:13:00;115.817; 93.980
2021-03-11 19:14:00;120.000;100.280
2021-03-11 19:15:00;115.850; 99.570
2021-03-11 19:16:00;118.700; 99.710
2021-03-11 19:17:00;119.083; 95.650
2021-03-11 19:18:00;115.300; 95.620
2021-03-11 19:19:00;119.450; 95.570
2021-03-11 19:20:00;120.917; 96.780
2021-03-11 19:21:00;122.133;100.190
2021-03-11 19:22:00;120.767; 99.890
2021-03-11 19:23:00;120.700; 95.740
2021-03-11 19:24:00;118.333; 96.220
2021-03-11 19:25:00;119.733; 95.040
2021-03-11 19:26:00;117.317; 95.360
2021-03-11 19:27:00;121.550; 98.950
2021-03-11 19:28:00;121.333; 97.090
2021-03-11 19:29:00;116.983; 97.920
2021-03-11 19:30:00;120.850; 95.240
2021-03-11 19:31:00;120.883; 98.280
2021-03-11 19:32:00;119.700; 98.310
2021-03-11 19:33:00;119.450;100.590
2021-03-11 19:34:00;120.733; 98.370
2021-03-11 19:35:00;124.000; 97.390
2021-03-11 19:36:00;115.233; 98.920
2021-03-11 19:37:00;123.250; 98.030
2021-03-11 19:38:00;120.183; 96.070
2021-03-11 19:39:00;116.833;102.510
2021-03-11 19:40:00;119.567; 98.810
2021-03-11 19:41:00;117.033; 97.710
2021-03-11 19:42:00;120.400; 99.720
2021-03-11 19:43:00;119.800; 98.740
2021-03-11 19:44:00;120.783; 98.620
2021-03-11 19:45:00;119.433;101.510
2021-03-11 19:46:00;118.483; 95.070
2021-03-11 19:47:00;120.183; 97.210
2021-03-11 19:48:00;115.717; 98.890
2021-03-11 19:49:00;119.867; 95.070
2021-03-11 19:50:00;123.667; 96.010
2021-03-11 19:51:00;119.883; 95.500
2021-03-11 19:52:00;118.350; 96.350
2021-03-11 19:53:00;116.267; 97.250
