"TIMESTAMP","RECORD","HistStatsMod(1)","HistStatsMod(2)","HistStatsMod(3)","HistStatsMod(4)","HistStatsMod(5)","HistBinMod(1)","HistBinMod(2)","HistBinMod(3)","HistBinMod(4)","HistBinMod(5)","HistBinMod(6)","HistBinMod(7)","HistBinMod(8)","HistBinMod(9)","HistBinMod(10)","HistBinMod(11)","HistBinMod(12)","HistBinMod(13)","HistBinMod(14)","HistBinMod(15)","HistBinMod(16)","HistBinMod(17)","HistBinMod(18)","HistBinMod(19)","HistBinMod(20)","HistBinMod(21)","HistBinMod(22)","HistBinMod(23)","HistBinMod(24)","HistBinMod(25)","HistBinMod(26)","HistBinMod(27)","HistBinMod(28)","HistBinMod(29)","HistBinMod(30)","HistBinMod(31)","HistBinMod(32)","HistBinMod(33)","HistBinMod(34)","HistBinMod(35)","HistBinMod(36)","HistBinMod(37)","HistBinMod(38)","HistBinMod(39)","HistBinMod(40)","HistBinMod(41)","HistBinMod(42)","HistBinMod(43)","HistBinMod(44)","HistBinMod(45)","HistBinMod(46)","HistBinMod(47)","HistBinMod(48)","HistBinMod(49)","HistBinMod(50)","HistBinMod(51)","HistBinMod(52)","HistBinMod(53)","HistBinMod(54)","HistBinMod(55)","HistBinMod(56)","HistBinMod(57)","HistBinMod(58)","HistBinMod(59)","HistBinMod(60)","HistBinMod(61)","HistBinMod(62)","HistBinMod(63)","HistBinMod(64)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-11 00:00:00",13,37,4595,40276,169,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,9,8,11,10,10,12,13,17,16,16,16,22,20,21,24,34,49,104,197,255,223,253,217,200,156,121,27,13,12,10,11,10,10,8,7,4,0,0,0,0,0,0,0,0,0,38
"2021-03-12 00:00:00",0,37,1723,14996,63,31232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,7,8,10,11,8,12,14,15,14,17,16,18,21,22,23,35,49,99,198,255,219,244,223,203,159,123,26,13,13,12,11,8,9,7,6,5,0,0,0,0,0,0,0,0,0,36
"2021-03-13 00:00:00",1,39,4784,41719,178,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,8,9,10,10,10,10,15,17,15,16,16,20,19,21,23,35,48,92,197,253,231,255,222,200,158,121,23,14,11,11,13,12,9,7,6,3,0,0,0,0,0,0,0,0,0,34
"2021-03-14 00:00:00",2,37,5111,43422,185,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,9,9,11,10,9,12,13,13,16,14,16,20,19,19,23,30,42,90,181,255,232,253,213,200,153,117,21,12,12,11,12,12,9,8,6,2,0,0,0,0,0,0,0,0,0,33
"2021-03-15 00:00:00",3,39,4529,38425,165,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,8,8,9,9,10,11,13,14,15,16,14,19,19,22,24,32,43,79,176,246,234,255,224,196,161,113,21,15,13,12,12,10,9,7,5,2,0,0,0,0,0,0,0,0,0,36
"2021-03-16 00:00:00",4,39,4278,36365,148,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,8,7,9,8,9,9,15,17,16,16,15,20,19,18,25,33,46,81,174,253,236,255,217,193,156,116,22,13,12,12,12,10,8,8,6,2,0,0,0,0,0,0,0,0,0,40
"2021-03-17 00:00:00",5,37,4084,34844,147,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,9,8,9,9,10,10,9,15,15,16,17,15,21,19,21,24,30,45,88,186,255,230,251,215,195,158,110,20,11,12,10,10,12,10,8,7,2,0,0,0,0,0,0,0,0,0,43
"2021-03-18 00:00:00",6,39,1822,15661,60,40613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,9,6,7,9,12,10,9,16,15,16,15,19,20,20,17,26,30,45,93,187,252,230,255,216,189,146,126,24,11,13,13,11,10,8,9,7,3,0,0,0,0,0,0,0,0,0,45
"2021-03-19 00:00:00",7,39,3992,34807,153,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,9,9,8,9,9,12,13,16,16,17,14,19,19,22,25,31,45,91,189,254,230,255,230,198,161,118,24,13,10,12,11,11,9,8,6,3,0,0,0,0,0,0,0,0,0,45
"2021-03-20 00:00:00",8,37,3977,35087,149,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,9,8,8,10,10,11,16,16,16,18,16,17,21,24,26,35,47,95,188,255,239,253,222,199,163,120,24,12,13,11,12,10,12,8,7,3,0,0,0,0,0,0,0,0,0,41
"2021-03-21 00:00:00",9,37,3921,34164,142,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,9,7,9,9,10,10,13,15,16,15,16,20,20,22,26,33,47,87,180,255,235,254,229,204,164,115,21,14,11,12,11,10,10,8,7,3,0,0,0,0,0,0,0,0,0,43
"2021-03-22 00:00:00",10,39,4016,34890,155,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,9,9,8,11,10,11,15,16,16,15,17,21,18,21,23,31,47,86,177,254,235,255,229,202,158,114,22,13,14,12,11,11,10,8,5,3,0,0,0,0,0,0,0,0,0,47
"2021-03-23 00:00:00",11,37,4155,35139,146,20868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,9,8,10,10,9,10,15,15,17,16,16,17,20,23,21,30,41,82,173,255,224,250,221,201,151,110,22,13,12,13,13,11,11,8,7,3,0,0,0,0,0,0,0,0,0,39
